Timestamp,CPU %,Cores Used
1680419463.1107771,99.8,8
1680419465.111854,99.7,8
1680419467.1145222,99.7,8
1680419469.115071,99.8,8
1680419471.120589,99.8,8
1680419473.1249669,100.0,8
1680419475.132241,99.9,8
1680419477.139031,100.0,8
1680419479.144253,100.0,8
1680419481.1468549,99.9,8
1680419483.153304,100.0,8
1680419485.157346,100.0,8
1680419487.163539,100.0,8
1680419489.169117,100.0,8
1680419491.171864,99.9,8
1680419493.177778,79.6,8
1680419495.17998,97.3,8
1680419497.185838,99.6,8
1680419499.188262,99.6,8
1680419501.194026,99.9,8
1680419503.200444,99.6,8
1680419505.2058911,100.0,8
1680419507.211543,99.8,8
1680419509.215476,99.9,8
1680419511.216682,99.9,8
1680419513.2213209,99.9,8
1680419515.224746,99.8,8
1680419517.230294,99.8,8
1680419519.231133,99.6,8
1680419521.233593,99.7,8
1680419523.239744,99.9,8
1680419525.243458,99.8,8
1680419527.2462878,99.8,8
1680419529.246807,99.5,8
1680419531.252348,99.7,8
1680419533.25556,99.8,8
1680419535.261015,99.7,8
1680419537.266458,99.6,8
1680419539.271915,99.6,8
1680419541.2773418,99.6,8
1680419543.278241,99.6,8
1680419545.278796,99.7,8
1680419547.279695,99.6,8
1680419549.2804532,99.6,8
1680419551.2849228,99.6,8
1680419553.287422,99.7,8
1680419555.292785,99.8,8
1680419557.297371,99.8,8
1680419559.29875,99.8,8
1680419561.3041642,99.7,8
1680419563.309591,99.6,8
1680419565.31502,99.8,8
1680419567.316716,99.6,8
1680419569.322166,99.9,8
1680419571.322918,100.0,8
1680419573.3282712,99.9,8
1680419575.3336692,99.6,8
1680419577.339058,99.6,8
1680419579.343905,99.6,8
1680419581.346678,99.7,8
1680419583.3521001,99.6,8
1680419585.355834,99.6,8
1680419587.360357,99.7,8
1680419589.3657222,99.8,8
1680419591.371105,99.7,8
1680419593.376519,99.8,8
1680419595.377855,99.7,8
1680419597.3798661,99.6,8
1680419599.385277,99.6,8
1680419601.391362,99.6,8
1680419603.396748,99.7,8
1680419605.399776,99.8,8
1680419607.4010859,99.7,8
1680419609.406477,99.6,8
1680419611.41185,99.6,8
1680419613.4124212,99.7,8
1680419615.417846,99.8,8
1680419617.4232562,99.5,8
1680419619.424979,83.6,8
1680419621.4305642,93.2,8
1680419623.433376,99.9,8
1680419625.437421,100.0,8
1680419627.4428911,99.6,8
1680419629.448388,99.5,8
1680419631.451518,99.6,8
1680419633.45505,99.7,8
1680419635.4603589,99.9,8
1680419637.4613252,99.9,8
1680419639.4690828,99.9,8
1680419641.473592,99.9,8
1680419643.47513,99.9,8
1680419645.476445,99.9,8
1680419647.4776409,99.8,8
1680419649.483076,99.9,8
1680419651.487218,99.6,8
1680419653.492665,99.8,8
1680419655.497802,99.8,8
1680419657.500021,99.7,8
1680419659.501585,99.8,8
1680419661.507058,99.5,8
1680419663.508964,99.8,8
1680419665.514358,99.9,8
1680419667.518465,99.8,8
1680419669.5239182,99.9,8
1680419671.529216,99.7,8
1680419673.533678,99.8,8
1680419675.537662,99.6,8
1680419677.543082,99.6,8
1680419679.546765,99.8,8
1680419681.5521762,99.7,8
1680419683.557589,99.6,8
1680419685.5630028,99.7,8
1680419687.568453,99.9,8
1680419689.570304,100.0,8
1680419691.5724218,99.8,8
1680419693.57367,99.8,8
1680419695.5770931,99.9,8
1680419697.5826151,100.0,8
1680419699.588021,100.0,8
1680419701.5894458,100.0,8
1680419703.594796,99.9,8
1680419705.598468,100.0,8
1680419707.6038651,100.0,8
1680419709.6093152,99.8,8
1680419711.6147058,100.0,8
1680419713.620188,99.9,8
1680419715.6221828,99.8,8
1680419717.627601,99.8,8
1680419719.633009,99.8,8
1680419721.638408,99.7,8
1680419723.64224,99.8,8
1680419725.6435862,99.8,8
1680419727.648993,99.8,8
1680419729.654505,99.6,8
1680419731.6599329,99.9,8
1680419733.662288,99.8,8
1680419735.6629949,100.0,8
1680419737.669131,99.9,8
1680419739.670437,99.8,8
1680419741.672127,99.9,8
1680419743.677612,99.8,8
1680419745.683049,99.7,8
1680419747.6884859,99.7,8
1680419749.689867,99.8,8
1680419751.6961112,78.4,8
1680419753.7036061,97.2,8
1680419755.7090628,99.8,8
1680419757.7102048,100.0,8
1680419759.712401,100.0,8
1680419761.7178628,99.8,8
1680419763.723288,99.9,8
1680419765.7284749,99.8,8
1680419767.730686,99.8,8
1680419769.7367868,99.9,8
1680419771.742392,100.0,8
1680419773.747751,99.5,8
1680419775.74913,100.0,8
1680419777.7545989,99.9,8
1680419779.7588449,99.9,8
1680419781.7611678,99.8,8
1680419783.76385,99.9,8
1680419785.770136,99.8,8
1680419787.775553,99.8,8
1680419789.777345,99.6,8
1680419791.782185,99.8,8
1680419793.783925,99.6,8
1680419795.78945,99.8,8
1680419797.794911,99.5,8
1680419799.800365,99.7,8
1680419801.8054872,99.6,8
1680419803.810882,99.7,8
1680419805.813226,99.7,8
1680419807.8186722,99.6,8
1680419809.8229609,99.6,8
1680419811.828376,99.8,8
1680419813.83379,99.9,8
1680419815.838733,100.0,8
1680419817.844179,100.0,8
1680419819.848605,100.0,8
1680419821.853992,100.0,8
1680419823.8594408,100.0,8
1680419825.864852,99.9,8
1680419827.86627,99.8,8
1680419829.871721,99.5,8
1680419831.876369,99.8,8
1680419833.881759,99.9,8
1680419835.883975,99.9,8
1680419837.889376,99.9,8
1680419839.8914292,99.9,8
1680419841.896994,99.8,8
1680419843.902415,99.7,8
1680419845.907876,99.7,8
1680419847.910444,99.8,8
1680419849.911974,99.5,8
1680419851.9128199,99.7,8
1680419853.91825,99.8,8
1680419855.921046,99.6,8
1680419857.921757,99.9,8
1680419859.9236832,99.8,8
1680419861.929162,99.8,8
1680419863.934579,99.9,8
1680419865.935998,99.7,8
1680419867.941408,99.7,8
1680419869.9442902,99.6,8
1680419871.9461482,99.5,8
1680419873.948473,99.6,8
1680419875.951699,99.9,8
1680419877.957142,99.9,8
1680419879.962712,99.9,8
1680419881.963903,99.8,8
1680419883.966083,85.9,8
1680419885.971959,90.6,8
1680419887.977422,99.5,8
